Class,Method,Inferred Type,Original Type,Source Code,Comments
[s]Ronin::Address,parse,(XXX) -> XXX,(String) -> Address,"def self.parse(address)
      first_or_new(:address => address)
    end"
Ronin::UI::CLI::Commands::Creds,print_resource,([ to_s: () -> String ]) -> nil,(Credential) -> %bot,"def print_resource(cred)
            case cred
            when ServiceCredential
              puts ""#{cred}\t(#{cred.open_port.ip_address} #{cred.open_port})""
            when WebCredential
              puts ""#{cred}\t(#{cred.url})""
            else
              super(cred)
            end
          end"
Ronin::UI::CLI::Commands::Exec,initialize,"(((IO or String) and [ dump: () -> XXX ] and [ to_str: () -> String ]), ?Array<String>) -> self","(String, Array<String>) -> self","def initialize(script,arguments=[])
            @script = script
            @arguments = arguments
          end"
Ronin::UI::CLI::Commands::Exec,execute,() -> (false or true),() -> %bot,"def execute
            if File.file?(@script)
              require 'ronin'

              setup_argv { load File.expand_path(@script) }
              return true
            end

            Database.setup

            Repository.each do |repo|
              path = repo.path.join(Repository::BIN_DIR,@script)

              if path.file?
                require 'ronin'

                repo.activate!

                setup_argv { load path }
                return true
              end
            end

            print_error ""Could not find the script #{@script.dump}.""
            return false
          end"
Ronin::UI::CLI::Commands::Exec,setup_argv,() { () -> (false or true) } -> (false or true),() -> %bot,"def setup_argv
            original_argv = ARGV.dup
            ARGV.clear
            @arguments.each { |arg| ARGV << arg }

            result = yield

            ARGV.clear
            original_argv.each { |arg| ARGV << arg }
            return result
          end"
Ronin::UI::CLI::Commands::Fuzzer,setup,() -> Number,() -> %bot,"def setup
            super

            unless rules?
              print_error ""Must specify at least one fuzzing rule""
              exit -1
            end

            @rules = Hash[@rules.map { |pattern,substitution|
              [parse_pattern(pattern), parse_substitution(substitution)]
            }]

            if output?
              @file_ext  = File.extname(@output)
              @file_name = @file.chomp(@file_ext)
            elsif command?
              @command = shellwords(@command)
            elsif (tcp? || udp?)
              @socket_class = if    tcp? then TCPSocket
                              elsif udp? then UDPSocket
                              end

              @host, @port = (@tcp || @udp).split(':',2)
              @port = @port.to_i
            end
          end"
Ronin::UI::CLI::Commands::Fuzzer,execute,() -> XXX,() -> %bot,"def execute
            data   = if input? then File.read(@input)
                     else           $stdin.read
                     end

            method = if    output?        then method(:fuzz_file)
                     elsif command?       then method(:fuzz_command)
                     elsif (tcp? || udp?) then method(:fuzz_network)
                     else                      method(:print_fuzz)
                     end

            fuzzer = Fuzzing::Fuzzer.new(@rules)
            fuzzer.each(data).each_with_index do |string,index|
              index = index + 1

              method.call(string,index)
            end
          end"
Ronin::UI::CLI::Commands::Fuzzer,fuzz_file,"(String, XXX) -> Number","(String, Number) -> %bot","def fuzz_file(string,index)
            path = ""#{@file_name}-#{index}#{@file_ext}""

            print_info ""Creating file ##{index}: #{path} ...""

            File.open(path,'wb') do |file|
              file.write string
            end
          end"
Ronin::UI::CLI::Commands::Fuzzer,fuzz_command,"(String, XXX) -> nil","(String, Number) -> %bot","def fuzz_command(string,index)
            RDL.type_cast(Tempfile, ""${File}"").open(""ronin-fuzzer-#{index}"") do |tempfile|
              tempfile.write(string)
              tempfile.flush

              arguments = @command.map do |argument|
                if argument.include?('#path#')
                  argument.sub('#path#',tempfile.path)
                elsif argument.include?('#string#')
                  argument.sub('#string#',string)
                else
                  argument
                end
              end

              print_info ""Running command #{index}: #{arguments.join(' ')} ...""

              # run the command as it's own process
              unless system(*arguments)
                status = $?

                if status.coredump?
                  # jack pot!
                  print_error ""Process ##{status.pid} coredumped!""
                else
                  # process errored out
                  print_warning ""Process ##{status.pid} exited with status #{status.exitstatus}""
                end
              end
            end
          end"
Ronin::UI::CLI::Commands::Fuzzer,fuzz_network,"([ inspect: () -> XXX ], XXX) -> XXX","(String, Number) -> %bot","def fuzz_network(string,index)
            print_debug ""Connecting to #{@host}:#{@port} ...""
            socket = RDL.type_cast(@socket_class, ""${TCPSocket} or ${UDPSocket}"").new(@host,@port)

            print_info ""Sending message ##{index}: #{string.inspect} ...""
            socket.write(string)
            socket.flush

            print_debug ""Disconnecting from #{@host}:#{@port} ...""
            socket.close
          end"
Ronin::UI::CLI::Commands::Fuzzer,print_fuzz,"([ to_s: () -> String ], XXX) -> nil","(String, Number) -> %bot","def print_fuzz(string,index)
            print_debug ""String ##{index} ...""

            puts string
          end"
Ronin::UI::CLI::Commands::Fuzzer,parse_pattern,((Object and [ []: (Range<Number>) -> XXX ] and [ upcase: () -> XXX ])) -> Object,(String) -> (Regexp or String),"def parse_pattern(string)
            case string
            when /^\/.+\/$/
              Regexp.new(string[1..-2])
            when /^[a-z][a-z_]+$/
              const = string.upcase

              if (Regexp.const_defined?(const) &&
                  Regexp.const_get(const).kind_of?(Regexp))
                Regexp.const_get(const)
              else
                string
              end
            else
              string
            end
          end"
Ronin::UI::CLI::Commands::Fuzzer,parse_substitution,"(([ include?: (String) -> XXX ] and [ split: (String, Number) -> XXX ])) -> XXX",(String) -> Enumerator,"def parse_substitution(string)
            if string.include?('*')
              string, lengths = string.split('*',2)

              lengths = if lengths.include?('-')
                          min, max = lengths.split('-',2)

                          (min.to_i .. max.to_i)
                        else
                          lengths.to_i
                        end

              Fuzzing::Repeater.new(lengths).each(string)
            else
              Fuzzing[string]
            end
          end"
Ronin::UI::CLI::Commands::Help,execute,() -> nil,() -> %bot,"def execute
            if command?
              name = command.gsub(/^ronin-/,'')

              unless CLI.commands.include?(name)
                print_error ""Unknown command: #{@command.dump}""
                exit -1
              end

              man_page = ""ronin-#{name.tr(':','-')}.1""

              Installation.paths.each do |path|
                man_path = File.join(path,'man',man_page)

                if File.file?(man_path)
                  return system('man',man_path)
                end
              end

              print_error ""No man-page for the command: #{@command.dump}""
              exit -1
            end

            print_array CLI.commands, :title => 'Available commands'
          end"
Ronin::UI::CLI::Commands::Hosts,execute,() -> XXX,() -> %bot,"def execute
            if lookup? then lookup(@lookup)
            else            super
            end
          end"
Ronin::UI::CLI::Commands::Hosts,print_resource,(([ address: () -> XXX ] and [ email_addresses: () -> XXX ] and [ ip_addresses: () -> XXX ] and [ last_scanned_at: () -> XXX ] and [ open_ports: () -> XXX ] and [ organization: () -> XXX ] and [ to_s: () -> String ] and [ urls: () -> XXX ])) -> nil,(HostName) -> %bot,"def print_resource(host)
            return super(host) unless verbose?

            print_title host.address

            indent do
              if (org = host.organization)
                print_hash 'Organization' => org
              end

              if (last_scanned_at = host.last_scanned_at)
                print_hash 'Last Scanned' => last_scanned_at
              end

              unless host.ip_addresses.empty?
                print_array host.ip_addresses, :title => 'IP Addresses'
              end

              unless host.open_ports.empty?
                print_section 'Open Ports' do
                  host.open_ports.each do |port|
                    if port.service
                      puts ""#{port}\t#{port.service}""
                    else
                      puts port
                    end
                  end
                end
              end

              unless host.email_addresses.empty?
                print_array host.email_addresses, :title => 'Email Addresses'
              end

              unless host.urls.empty?
                print_array host.urls, :title => 'URLs'
              end
            end
          end"
Ronin::UI::CLI::Commands::Install,setup,() -> (false or true),() -> %bot,"def setup
            super

            Database.setup
          end"
Ronin::UI::CLI::Commands::Install,execute,() -> XXX,() -> %bot,"def execute
            unless uri?
              print_error ""Must specify the URI argument""
              exit -1
            end

            scm = if    rsync? then :rsync
                  elsif svn?   then :sub_version
                  elsif hg?    then :mercurial
                  elsif git?   then :git
                  end

            repository = RDL.type_cast(begin
                           if File.directory?(@uri)
                             # add local repositories
                             Repository.add(:path => @uri, :scm => scm)
                           else
                             # install remote repositories
                             Repository.install(:uri => @uri, :scm => scm)
                           end
                         rescue DuplicateRepository => e
                           print_error e.message
                           exit -1
                         end, ""Ronin::Repository"")

            print_info ""Repository #{repository} installed.""

            # print any caching exceptions/errors
            repository.script_paths.each do |script_path|
              if script_path.cache_exception
                print_exception script_path.cache_exception
              end

              if script_path.cache_errors
                script_path.cache_errors.each do |error|
                  print_error error
                end
              end
            end
          end"
Ronin::UI::CLI::Commands::Ips,execute,() -> XXX,() -> %bot,"def execute
            if lookup? then lookup(@lookup)
            else            super
            end
          end"
Ronin::UI::CLI::Commands::Ips,print_resource,(([ address: () -> XXX ] and [ host_names: () -> XXX ] and [ last_scanned_at: () -> XXX ] and [ mac_addresses: () -> XXX ] and [ open_ports: () -> XXX ] and [ organization: () -> XXX ] and [ to_s: () -> String ])) -> nil,(IPAddress) -> %bot,"def print_resource(ip)
            return super(ip) unless verbose?

            print_title ip.address

            indent do
              if (org = ip.organization)
                print_hash 'Organization' => org
              end

              if (last_scanned_at = ip.last_scanned_at)
                print_hash 'Last Scanned' => last_scanned_at
              end

              unless ip.mac_addresses.empty?
                print_array ip.mac_addresses, :title => 'MAC Addresses'
              end

              unless ip.host_names.empty?
                print_array ip.host_names, :title => 'Hostnames'
              end

              unless ip.open_ports.empty?
                print_section 'Open Ports' do
                  ip.open_ports.each do |port|
                    if port.service
                      puts ""#{port}\t#{port.service}""
                    else
                      puts port
                    end
                  end
                end
              end
            end
          end"
Ronin::UI::CLI::Commands::Repos,execute,() -> nil,() -> %bot,"def execute
            if repo?
              repository = begin
                             Repository.find(@repo)
                           rescue RepositoryNotFound => e
                             print_error e.message
                             exit -1
                           end

              print_repository(repository)
            else
              print_array query
            end
          end"
Ronin::UI::CLI::Commands::Repos,print_repository,(([ description: () -> XXX ] and [ domain: () -> XXX ] and [ executables: () -> XXX ] and [ installed?: () -> XXX ] and [ name: () -> XXX ] and [ path: () -> XXX ] and [ scm: () -> XXX ] and [ script_paths: () -> XXX ] and [ source: () -> XXX ] and [ title: () -> XXX ] and [ uri: () -> XXX ] and [ verbose?: () -> XXX ] and [ website: () -> XXX ])) -> nil,(Repository) -> %bot,"def print_repository(repo)
            print_title repo.name

            indent do
              if repo.installed?
                puts ""Domain: #{repo.domain}""
              else
                puts ""Path: #{repo.path}""
              end

              puts ""SCM: #{repo.scm}"" if repo.scm

              if repo.verbose?
                putc ""\n""

                puts ""Title: #{repo.title}"" if repo.title
                puts ""URI: #{repo.uri}"" if repo.uri
                puts ""Source URI: #{repo.source}"" if repo.source
                puts ""Website: #{repo.website}"" if repo.website

                executables = repo.executables

                unless executables.empty?
                  puts ""Executables: #{executables.join(', ')}""
                end

                putc ""\n""

                unless repo.script_paths.empty?
                  print_title 'Cached Files'

                  indent do
                    repo.script_paths.each do |script_path|
                      puts script_path.path
                    end
                  end
                end

                if repo.description
                  print_title ""Description""

                  indent { puts ""#{repo.description}\n\n"" }
                else
                  putc ""\n""
                end
              else
                putc ""\n""
              end
            end
          end"
Ronin::UI::CLI::Commands::Uninstall,setup,() -> (false or true),() -> %bot,"def setup
            super

            Database.setup
          end"
Ronin::UI::CLI::Commands::Uninstall,execute,() -> XXX,() -> %bot,"def execute
            unless repo?
              print_error ""Must specify the REPO argument""
              exit -1
            end

            repository = Repository.uninstall(@repo)

            print_info ""Repository #{repository} uninstalled.""
          end"
Ronin::UI::CLI::Commands::Update,setup,() -> (false or true),() -> %bot,"def setup
            super

            Database.setup
          end"
Ronin::UI::CLI::Commands::Update,execute,() -> XXX,() -> %bot,"def execute
            if repo?
              repository = RDL.type_cast(begin
                             Repository.find(@repo)
                           rescue RepositoryNotFound => e
                             print_error e.message
                             exit -1
                           end, ""Ronin::Repository"")

              print_info ""Updating #{repository} ...""

              repository.update!

              print_info ""Repository #{repository} updated.""
            else
              print_info ""Updating Repositories ...""

              Repository.update!

              print_info ""Repositories updated.""
            end
          end"
Ronin::UI::CLI::Commands::Update,print_cache_errors,([ script_paths: () -> XXX ]) -> XXX,(Repository) -> %bot,"def print_cache_errors(repository)
            repository.script_paths.each do |script_path|
              if script_path.cache_exception
                print_exception script_path.cache_exception
              end

              if script_path.cache_errors
                script_path.cache_errors.each do |error|
                  print_error error
                end
              end
            end
          end"
Ronin::UI::CLI::Commands::Urls,print_resource,(([ fragment: () -> XXX ] and [ host_name: () -> XXX ] and [ last_scanned_at: () -> XXX ] and [ path: () -> XXX ] and [ port: () -> XXX ] and [ query_params: () -> XXX ] and [ to_s: () -> String ])) -> nil,(Ronin::URL) -> %bot,"def print_resource(url)
            return super(url) unless verbose?

            print_title url

            indent do
              print_hash 'Host' => url.host_name,
                         'Port' => url.port.number,
                         'Path' => url.path,
                         'Fragment' => url.fragment,
                         'Last Scanned' => url.last_scanned_at

              unless url.query_params.empty?
                params = {}

                url.query_params.each do |param|
                  params[param.name] = param.value
                end

                print_hash params, :title => 'Query Params'
              end
            end
          end"
Ronin::UI::CLI::Commands::Wordlist,execute,() -> XXX,() -> %bot,"def execute
            if (input? && template?)
              print_error ""Cannot specify --input with the TEMPLATE argument""
              exit -1
            end

            output_stream do |output|
              wordlist.each { |word| output.puts word }
            end
          end"
Ronin::UI::CLI::Commands::Wordlist,parse_template,() -> XXX,() -> Array<(Array<(Number or Symbol)> or Array<String> or String)>,"def parse_template
            @template.map do |char_template|
              if char_template.include?(':')
                charset, length = char_template.split(':',2)

                # convert charset names to Symbols
                charset = if charset.include?(',')
                            charset.split(',')
                          elsif Chars.const_defined?(charset.upcase)
                            charset.to_sym
                          else
                            charset.to_s
                          end

                # parse the length field
                length = if length.include?('-')
                           min, max = length.split('-',2)

                           Range.new(min.to_i,max.to_i)
                         elsif length.include?(',')
                           length.split(',').map(&:to_i)
                         else
                           length.to_i
                         end

                [charset, length]
              else
                char_template
              end
            end
          end"
Ronin::UI::CLI::Commands::Wordlist,wordlist,() -> Ronin::Wordlist,() -> Ronin::Wordlist,"def wordlist
            if template?
              generator = Fuzzing::Template.new(parse_template)

              Ronin::Wordlist.new(generator,@mutations)
            elsif input?
              Ronin::Wordlist.build(File.open(@input),@mutations)
            else
              Ronin::Wordlist.build($stdin,@mutations)
            end
          end"
Ronin::UI::CLI::Commands::Wordlist,output_stream,() { ([ puts: (XXX) -> XXX ]) -> XXX } -> XXX,() -> %bot,"def output_stream(&block)
            if @output
              File.open(@output,'w',&block)
            else
              yield $stdout
            end
          end"
